Method,Power_mW,Bead_ID,Intensity_920,Intensity_Ref_1030,Crosstalk_Ratio
With DUET,1,1,10.2218085106378,14117.6378306878,0.000724045242782646
With DUET,1,2,27.8090659340651,18641.0002747253,0.00149182262347641
With DUET,1,3,37.8780612244891,22016.3923076923,0.00172044814132672
With DUET,1,4,20.2359788359782,21062.9540540541,0.000960737928025026
With DUET,1,5,64.229842931936,22280.2028205128,0.00288282128530721
With DUET,1,6,10.4801675977652,12880.9549450549,0.000813617285556033
With DUET,1,7,14.7291208791205,13431.7948087432,0.00109658620376875
With DUET,1,8,18.9611940298502,20951.8934343434,0.000904987135853307
With DUET,1,9,29.1392265193363,19225.73125,0.00151563683796612
With DUET,1,10,19.5321428571423,20550.7171052632,0.000950436072721764
With DUET,1,11,21.48422459893,19818.4994594595,0.00108404900395602
With DUET,1,12,11.4266497461924,16187.2507653061,0.000705904289237487
Traditional,1,1,1131.59243243243,14117.6378306878,0.0801545163577339
Traditional,1,2,2255.89723756906,18641.0002747253,0.121018035744989
Traditional,1,3,2623.86450777202,22016.3923076923,0.119177768596323
Traditional,1,4,2233.19297297297,21062.9540540541,0.106024680452794
Traditional,1,5,2882.31520618557,22280.2028205128,0.129366650268187
Traditional,1,6,1066.31722222222,12880.9549450549,0.0827824665772614
Traditional,1,7,1178.06675977653,13431.7948087432,0.0877073225545178
Traditional,1,8,2051.59648241206,20951.8934343434,0.097919383221431
Traditional,1,9,2351.00303867403,19225.73125,0.122284193412619
Traditional,1,10,2076.70104166666,20550.7171052632,0.101052485469464
Traditional,1,11,2197.31513513513,19818.4994594595,0.110871922449525
Traditional,1,12,1461.64191919192,16187.2507653061,0.0902958717563474
With DUET,1.5,1,12.7216577540103,14117.6378306878,0.000901118013266847
With DUET,1.5,2,40.8839779005515,18641.0002747253,0.00219322875908031
With DUET,1.5,3,39.1107142857134,22016.3923076923,0.00177643610901903
With DUET,1.5,4,31.4099999999992,21062.9540540541,0.00149124381695898
With DUET,1.5,5,119.967708333332,22280.2028205128,0.00538449803620643
With DUET,1.5,6,14.6226519337014,12880.9549450549,0.0011352148964169
With DUET,1.5,7,15.0147849462362,13431.7948087432,0.00111785395474197
With DUET,1.5,8,28.7514999999994,20951.8934343434,0.00137226261149606
With DUET,1.5,9,36.7455555555547,19225.73125,0.00191126959374066
With DUET,1.5,10,32.2041450777195,20550.7171052632,0.00156705699916777
With DUET,1.5,11,28.075401069518,19818.4994594595,0.00141662597246319
With DUET,1.5,12,16.5877551020402,16187.2507653061,0.00102474196159316
Traditional,1.5,1,2081.81216216216,14117.6378306878,0.147461791209637
Traditional,1.5,2,4742.22445652174,18641.0002747253,0.254397531604115
Traditional,1.5,3,5302.6582051282,22016.3923076923,0.240850459558513
Traditional,1.5,4,4340.77768817204,21062.9540540541,0.206085892654576
Traditional,1.5,5,6222.01084656085,22280.2028205128,0.279261858461737
Traditional,1.5,6,1859.84581005586,12880.9549450549,0.144387261502678
Traditional,1.5,7,2133.09617486339,13431.7948087432,0.158809467032275
Traditional,1.5,8,4043.197,20951.8934343434,0.192975256039274
Traditional,1.5,9,4730.74333333333,19225.73125,0.246063115718073
Traditional,1.5,10,3990.85418848167,20550.7171052632,0.19419537372054
Traditional,1.5,11,4272.43641304348,19818.4994594595,0.21557819863119
Traditional,1.5,12,2694.43333333333,16187.2507653061,0.166454042900742
With DUET,2,1,18.3241847826081,14117.6378306878,0.00129796393719467
With DUET,2,2,69.0683060109277,18641.0002747253,0.00370518239327399
With DUET,2,3,88.6691326530601,22016.3923076923,0.00402741427450309
