Frame,Time,Mean_ROI_001,Mean_ROI_002,Mean_ROI_003,Mean_ROI_004,Mean_ROI_005,Mean_ROI_006,Mean_ROI_007,Mean_ROI_008,Mean_ROI_009,Mean_ROI_010
1,0.119047619,27347.29,27323.57143,27592.16312,28570.75833,30002.82517,29114.34653,30314.39109,28537.96429,27133.97895,29852.57045
2,0.238095238,27408.64,27363.18367,27772.48936,28245.95,29804.45455,28977.83168,30397.72772,28545.90909,27165.07895,30154.19244
3,0.357142857,27523.55,27401.79592,28190.41135,28545.80833,30139.03497,29207.79208,29995.98515,28642.93831,27167.84737,30601.9622
4,0.476190476,27322.47,27329.46939,28448.17021,28549,30122.78322,29109.9505,29770.30693,28626.59091,27143.87368,30791.66323
5,0.595238095,27526.25,27419.46939,28411.19858,28551.00833,29610.86713,29392.45545,30009.17327,28340.18506,27106.54737,30712.61512
6,0.714285714,27280.65,27444.36735,28329.84397,28790.775,29565.66434,28783.86139,30373.08416,28243.98052,27147.88421,29831.80069
7,0.833333333,27399.48,27457.71429,28631.56028,29144.59167,29431.16084,29784.06931,29739.5297,28398.64286,27023.85789,30906.40206
8,0.952380952,27480.78,27324.04082,27948.86525,28750.25833,29757.42657,29109.55446,29910.24752,28150.21104,27069.53684,30874.2268
9,1.071428571,27336.03,27383.40816,28216.70922,28723.11667,30490.75524,29353.89109,29687.4802,28151.3474,27173.73158,30661.68729
10,1.19047619,27539.55,27310.63265,28161.3617,28892.19167,30229.67832,29518.69307,29909.30693,28285.61364,27141.00526,31273.84192
11,1.30952381,27385.83,27596.2449,28275.42553,28658.425,29311.86713,29307.0495,29619.14851,28214.05195,27013.13158,30756.91065
12,1.428571429,27371.3,27304.26531,28440.24823,28736.88333,29976.81119,28944.26733,29464.90594,28531.52597,27125.44737,31221.83849
13,1.547619048,27498.2,27363.57143,28333.62411,28819.73333,30063.66434,29130.65347,29292.5495,27967.64935,27122.52632,30996.57732
14,1.666666667,27304.57,27385.44898,27983.30496,28391.74167,29918.46853,29223.52475,29267.66832,27666.51623,27009.36316,30717.0756
15,1.785714286,27379.12,27359.32653,28457.9078,28789.59167,29954.61538,29410.91089,29566.05446,28209.01299,27071.43158,31161.09966
16,1.904761905,27387.58,27397.83673,28300.68794,29610.31667,29473.67832,29202.89109,29645.90099,28619.6039,27090.53684,30789.80756
17,2.023809524,27213.19,27452.79592,28467.1773,28459.98333,30352.40559,29226.80198,29947.84158,28635.57792,27192.76842,31482.78007
18,2.142857143,27424.86,27314.91837,28148.71631,28834.21667,29700.00699,29108.68317,29784.27723,28888.38312,27051.33684,31565.38832
19,2.261904762,27349.72,27235.12245,27964.35461,28680.025,29441,29823.38614,29395.81188,28969.37338,27091.91579,30675.03093
20,2.380952381,27235.93,27477.55102,28320.24823,28811.9,29699.95105,29554,29515.82673,28777.22727,27168.59474,30553.94158
21,2.5,27196.74,27469.91837,27862.58865,28717.5,29713.92308,29484.49505,29101.96535,29296.5974,27158.44737,30937.08935
22,2.619047619,27421.2,27578.7551,28138.66667,28643.81667,29274.33566,29497.48515,29250.70792,29501.82143,27040.38421,30614.28866
23,2.738095238,27337.57,27323.65306,28171.28369,28382.09167,29293.06294,29655.25743,29211.10396,30038.4513,26921.84211,30419.89691
24,2.857142857,27548.39,27272.55102,28295.19149,28853.46667,29266.18182,29907.84158,29211.40099,29659.96753,27090.1,30777.85223
25,2.976190476,27425.4,27475.87755,27900.60284,28586.55833,29323.13287,29463.43564,29298.46535,29912.30844,27053.18947,30795.03093
26,3.095238095,27390.42,27394.46939,28074.19149,28894.75833,30170.58042,30254.08911,29454.62376,29691.42532,27009.84211,30407.91753
27,3.214285714,27250.79,27458.65306,28059.95035,29236.2,29832.74825,29799.25743,29461.32673,29390.03571,27156.07368,30764.25086
28,3.333333333,27384.13,27331.59184,27699.63121,28715.725,30332.46154,29744.15842,29335.83663,29777,27072.01579,30268.3677
29,3.452380952,27364.95,27250.91837,28211.78723,28626.19167,29811.07692,29725.86139,29423.15842,29156.38961,27046.66842,30798.52921
30,3.571428571,27504.81,27470.91837,28032.07092,28922.79167,30011.06294,30450.49505,29358.68812,29140.98377,27221.37368,30508.31271
31,3.69047619,27474.77,27354.10204,28178.76596,29212.45,29685.01399,30019.41584,29557.21782,29588.46429,27075.37895,30907.47766
32,3.80952381,27395.83,27448.89796,27623.97163,29110.88333,29462.76224,29555.80198,29081.0198,29229.87987,27081.11053,31214.51546
33,3.928571429,27323.46,27270.4898,27847.39716,28963.975,29520.36364,29945.0198,29305.45545,29003.36688,27082.55789,30656.75258
34,4.047619048,27383.21,27325.67347,28011.19858,28626.93333,29812.6014,29810.0396,28952.01485,28897.34416,27100.31579,30277.38144
35,4.166666667,27139.62,27359.97959,28151.82979,29485.625,29525.20979,29787.16832,29566.70792,29005.50649,27112.77895,31161.37457
36,4.285714286,27376.85,27452.89796,27994.41844,28810.875,29514.84615,30051.0297,29241.88614,28760.72727,27091.72632,30989.07216
37,4.404761905,27253.68,27500.77551,28624.52482,28846.50833,29386.13287,29641.9802,29173.93564,28787.22403,27026.80526,30495.35052
38,4.523809524,27347.62,27321.4898,27988.46809,29149.10833,29805.40559,30178.09901,29198.45545,28916.56169,27052.08421,30850.72509
39,4.642857143,27395.26,27366.04082,28034.58156,28564.275,29717.3986,30027.31683,29281.75743,28973.3539,26995.61053,30535.0756
40,4.761904762,27433.28,27118.59184,28155.39007,28804.69167,29835.76923,29914.0495,29020.11881,28611.49026,26963.28421,30966.19588
41,4.880952381,27329.85,27416.71429,28069.80142,29022.96667,29411.14685,29801.53465,28916.16832,28813.05519,27106.14737,31171.97251
42,5,27395.98,27299.81633,28542.86525,29170.28333,29898.76923,29984.94059,29046.20297,28718.67857,27161.32632,30507.47423
43,5.119047619,27362.05,27115.85714,27925.14894,28524.49167,29473.23077,29800.83168,29477.43564,28753.99026,27044.44737,31642.61856
44,5.238095238,27429.45,27239.28571,28094.01418,29073.86667,29458.11189,30148.84158,29132.16337,29032.3961,27087.98421,30755.38144
45,5.357142857,27268.87,27399.77551,27597.07801,28846.9,29450.02098,29737.69307,29377.20792,28922.03247,27066.65263,30516.811
46,5.476190476,27395.15,27341.10204,28064.98582,28905.95833,29085.6014,30158.36634,28934.70297,28896.82792,27061.48947,30740.05842
47,5.595238095,27378.76,27382.08163,28337.71631,28531.71667,29089.3986,29965.22772,29007.9901,28858.55519,27037.82632,30793.10309
48,5.714285714,27348.19,27098.95918,28351.38298,28825.10833,29453.7972,30048.92079,29158.03465,29014.91883,27099.53158,31124.72509
49,5.833333333,27315.02,27243.44898,28135.35461,28522.96667,29429.76923,29709.83168,29105.41089,28740.27273,27178.75789,31627.10653
50,5.952380952,27367.89,27290.73469,28155.08511,28557.85833,29257.88811,29670.06931,29155.27228,28885.50649,27135.92632,31281.35395
51,6.071428571,27232.67,27493.10204,27795.21277,29163.59167,29809.33566,29673.06931,29160.25743,28501.33442,27217.83158,30727.28866
52,6.19047619,27432,27405.61224,28523.03546,28718.66667,29452.77622,29827.69307,29020.13861,28533.1461,27136.62632,30853.45361
53,6.30952381,27333.94,27594.61224,28103.80142,28912.13333,29622.66434,29967.06931,28983.56931,28860.25649,27164,30990.71134
54,6.428571429,27376.87,27358.46939,27981.90071,29133.15,29540.09091,29357.56436,29034.40099,28785.51948,27289.16316,31426.63918
55,6.547619048,27269.9,27122.10204,28149.14894,28130.91667,29252.45455,29937.61386,29020.44554,28714.28896,27092.06842,31122.5945
56,6.666666667,27599.04,27234,28256.82979,28403.425,29631.86713,29152.66337,28757.96535,28715.46753,27179.25263,31134.90722
57,6.785714286,27254.34,27389.91837,28011.58865,28540.36667,29105.35664,29913.05941,29114.59406,28701.96104,27050.44737,31334.4433
58,6.904761905,27463.47,27200.20408,27996.85106,28969.85,29412.15385,29536.11881,28841.51485,28738.85714,27028.5,31135.06873
59,7.023809524,27287.91,27115.08163,27902.80142,28936.675,29671.66434,29922.60396,28677.42079,28564.3961,27183,31459.86254
60,7.142857143,27325.48,27438.40816,28168.24823,28733.84167,29296.79021,29166.08911,28687.36139,28569.86039,26876.26316,31030.40893
61,7.261904762,27454.09,27076.34694,28221.04965,29134.275,29239.32168,29472.12871,29236.90594,28479.6526,27155.25789,30746.67698
62,7.380952381,27379.04,27165.26531,28102.7234,28688.7,29393.47552,29633.37624,28621.66832,28542.8474,27042.00526,31121.24742
63,7.5,27282.05,27348.7551,28242.17021,28750.18333,28955.22378,29695.0297,28816.9505,28474.91883,27068.76316,31041.16495
64,7.619047619,27209.5,27334.61224,27949.24823,28670.01667,29034.55944,29440.0198,28582.64356,28558.07143,27080.72105,31077.35739
65,7.738095238,27370.76,27201.06122,28425.92908,28638.5,29132.04895,30176.29703,28592.16832,28608.41234,27181.57895,30962.27148
66,7.857142857,27413.97,27337.73469,27854.36879,28721.05,29276.04196,29833.23762,28818.45545,28343.67857,27123.05263,30592.92784
67,7.976190476,27263.87,27411.83673,28024.09929,28352.76667,29038.18881,29051.0297,28622.23762,28670.24675,27014.22632,31510.62199
68,8.095238095,27356.86,27221.83673,27810.6383,28070.89167,28900.21678,29468.9505,28770.08416,28717.16234,27060.47368,31200.30241
69,8.214285714,27264.14,27361.26531,28348.19149,28872.025,29517.2028,29350.81188,29066.20297,28430.70779,27125.48947,30972.87973
70,8.333333333,27348.07,27369.40816,28159.36879,28327.15,28947.74126,29359.83168,28707.66832,28363.93831,27086.05789,30768
71,8.452380952,27439.84,27304.63265,28305.56028,29016.725,29388.1049,29831.31683,28740.40099,28699.85065,27192.71053,31096.40893
72,8.571428571,27410.16,27384.85714,28183.80142,28342.225,29349.69231,29143.61386,28818.28218,28790.87338,27059.35789,31337.27148
73,8.69047619,27307.62,27194.93878,28013.62411,28441.975,29506.93007,29422.21782,28673.39109,28246.5974,27052.44737,31325.41924
74,8.80952381,27116.68,27372.18367,28250.23404,28750.93333,29150.93007,30232.55446,28939.43564,28708.13636,27110.36842,31007.31615
75,8.928571429,27318.66,27511.42857,28189.88652,28893.925,29465.34965,29696.14851,28616.4802,28482.20779,27118.35263,30869.19931
76,9.047619048,27481.08,27203.57143,28372.80851,28964.66667,29270.17483,29843.17822,28697.67327,28291.16558,27083.43158,31311.80069
77,9.166666667,27341.52,27249.22449,28225.52482,28493.10833,29250.76224,29309.90099,28715.01485,28720.74026,27082.65789,31479.40206
78,9.285714286,27136.01,27300.97959,28549.3617,28476.86667,28920.01399,29358.09901,28593.57921,28384.26623,27085.19474,30282.0756
79,9.404761905,27180.61,27250.28571,28349.90071,29179.375,29039.65035,29720.48515,28940.26238,28506.57792,27210.46842,31114.5567
80,9.523809524,27207.03,27299.77551,28213.39716,28818.44167,29002.24476,29916.76238,28698.5396,28345.37662,26989.60526,30783.31959
81,9.642857143,27400.72,27400.44898,28178.52482,28917.8,28942.05594,29663.52475,28575.66337,28451.06818,27082.69474,30667.70447
82,9.761904762,27313.83,27175.4898,27976.87943,28697.475,29226.2028,29420.33663,28728.34653,28577.56494,27063.08421,31041.86942
83,9.880952381,27323.05,27212.22449,28128.5461,28594.85,29060.25874,29500.32673,28775.12376,28486.06494,27091.10526,31198.63574
84,10,27360.53,27267.87755,28250.87943,29090.00833,29161.88112,29984.68317,28762.41089,28585.0487,27056.14211,31513.65292
85,10.11904762,27346.59,27190.57143,28422.29078,29133.95,29463.98601,29399.77228,28459.64356,28264.18182,27083.12105,31200.24742
86,10.23809524,27396.21,27449.59184,28328.23404,28948.19167,29108.32168,29648.54455,28517.28713,28438.30195,27131.84211,31889.08935
87,10.35714286,27313.7,27201.12245,27797.8227,28997.975,29321.46853,29728.0099,28747.97525,28466.84091,27135.82105,31334.06529
88,10.47619048,27423.79,27239.81633,27973.02837,29318.6,29137.02797,29830.86139,28860.75248,28744.69481,27083.65263,31645.56701
89,10.5952381,27467.29,27461.2449,27859.8227,28924.75833,29008.44755,29508.24752,28604.82178,28324.63312,27028.78947,31062.06873
90,10.71428571,27339.62,27223.83673,28866.31206,29363.46667,28743.81119,29426.9604,28722.12871,28387.23377,27141.52105,31191.5567
91,10.83333333,27325.77,27511.5102,27986.82979,28843.175,29266.72028,29208.91089,28621.66832,28568.72727,27011.72105,31245.73196
92,10.95238095,27391.02,27369.93878,28077.48227,29090.68333,29046.61538,30050.46535,28538.64851,28181.19805,27071.93158,31592.16838
93,11.07142857,27293,27177.30612,28562.82979,28923.25,29370.12587,28994.0495,28521.31188,28522.27273,27030.94737,31393.14777
94,11.19047619,27396.89,27312.65306,28614.87943,29103.775,29124.92308,29779.82178,28170.9505,28499.36364,27114.47895,30931.10997
95,11.30952381,27225.31,27564.34694,28015.02837,29295.7,29159.86713,29240.55446,28475.12871,28421.9513,27093.85263,31148.67698
96,11.42857143,27223.31,27434.79592,28186.51064,28826.30833,29137.55944,29344.54455,28624.55446,28413.38961,27155.47895,31236.72509
97,11.54761905,27610.29,27509.77551,28374.80851,29004.80833,28848.73427,29399.48515,28673.38119,28668.77597,27130.37895,31238.90378
98,11.66666667,27212.04,27206.38776,28006.87943,29553.13333,29211.52448,29085.55446,28796.4802,28491.16558,27186.11579,31731.41581
99,11.78571429,27236.91,27357.16327,28245.58865,29198.76667,29160.97902,29504.94059,28596.56436,28528.82468,27020.98421,31196.36082
100,11.9047619,27354.27,27460.34694,28382.42553,28912.93333,29111.41958,29465.86139,28688.01485,28509.74675,27049.64737,31303.56701
101,12.02380952,27357.32,27152.83673,28122.87234,29365.65833,28974.85315,29666.71287,28354.33663,28399.52273,27049.63158,31906.64605
102,12.14285714,27295.57,27265.2449,28393.31915,29553.26667,29028.90909,29580.52475,28634,28499.85714,27151.38421,31040.56701
103,12.26190476,27249.65,27335,27858.90071,29219.03333,29152.25175,29585.25743,28740.96535,28469.87013,27200.34737,31642.42612
104,12.38095238,27261.07,27252.10204,28167.49645,29526.2,28729.40559,29322.84158,28854.94059,28479.56494,27114.86316,31382.43986
105,12.5,27361.98,27233.38776,28353.49645,29649.925,28624.92308,29857.20792,28516.46535,28449.53896,27095.83684,31797.65636
106,12.61904762,27144.69,27397.38776,28059,29393.59167,29336.39161,29654.92079,28565.64851,28324.30195,27069.1,31268.28522
107,12.73809524,27286.86,27318.04082,28142.43972,29229.58333,28988.9021,28995.76238,28674.73267,28020.98377,27090.21579,31448.06873
108,12.85714286,27520.08,27255.34694,28219.57447,29001.08333,28806.6993,29390.26733,28797,28631.62662,27187.90526,31147.8866
109,12.97619048,27174.15,27274.85714,28153.98582,29250.70833,28912.27273,28515.69307,28669.56931,28687.44156,27196.22632,30969.20619
110,13.0952381,27209.64,27212.71429,28106.43972,29305.83333,28981.67133,29241.60396,28625.31683,28533.83442,27085.44737,30544.07216
111,13.21428571,27159.48,27353.02041,28169.34752,28882.225,28894.62238,29307.42574,28612.10396,28586.96104,27197.72632,30751.13058
112,13.33333333,27321.41,27488.63265,27793.00709,28994.38333,28706.28671,28563.13861,28861.4604,28873.52597,27208.77895,30587.39863
113,13.45238095,27264.75,27424.93878,28456.22695,29281.875,28711.9021,28852.40594,28731.9901,28771.00974,27219.17368,31146.02062
